TimeMnt,TimeSec,Frequency,SourceIPCatg,SRCC,SrcCen,Src Port,SrcPortC,DestinationIPCatg,DSTC,DSTCen,NetflowAggr,Dst Port,DSTPortC,ProtocolB,HostB,HSTYP,InfoN,MARPB,MTCPD,MWPD,Distance,Dist2,RCG,Mark,Lbls
17,5,27,9,1,0,26461,1,5,37117,1,2.69E-06,32234,5,2,0,-1,50,0,0,0,42874.8377,48626.8472,0.233237035,0,BENIGN
13,15,7356,8,15,0,80,8,5,37117,1,0.500040413,1067,5,1,0,-1,56,0,1,0,38698.8187,40275.8092,0.258405821,0,BENIGN
13,15,7356,8,15,0,80,8,5,37117,1,4.04E-05,1067,5,1,0,-1,56,0,0,0,38699.8187,40276.8092,0.258399143,0,BENIGN
13,15,7356,8,15,0,80,8,5,37117,1,4.04E-05,1067,5,3,0,-1,72,0,0,0,38699.8187,40276.8092,0.258399143,0,BENIGN
13,15,7356,8,15,0,80,8,5,37117,1,0.500040413,1067,5,1,0,-1,56,0,1,0,38698.8187,40275.8092,0.258405821,0,BENIGN
13,15,7356,8,15,0,80,8,5,37117,1,4.04E-05,1067,5,1,0,-1,56,0,0,0,38699.8187,40276.8092,0.258399143,0,BENIGN
13,17,7356,5,90,1,80,8,5,37117,1,0.500242476,1084,4,1,0,-1,56,0,1,0,38698.6593,40275.6498,0.258406885,0,BENIGN
13,17,7356,5,90,1,80,8,5,37117,1,0.500242476,1085,5,1,0,-1,56,0,1,0,38699.6593,40276.6498,0.258400208,0,BENIGN
13,17,7356,5,90,1,80,8,5,37117,1,0.000242476,1084,4,1,0,-1,56,0,0,0,38699.6593,40276.6498,0.258400208,0,BENIGN
13,17,7356,5,90,1,80,8,5,37117,1,0.000242476,1084,4,3,0,-1,72,0,0,0,38699.6593,40276.6498,0.258400208,0,BENIGN
13,17,7356,5,90,1,80,8,5,37117,1,0.500242476,1084,4,1,0,-1,56,0,1,0,38698.6593,40275.6498,0.258406885,0,BENIGN
13,17,7356,5,90,1,80,8,5,37117,1,0.000242476,1085,5,1,0,-1,56,0,0,0,38700.6593,40277.6498,0.258393531,0,BENIGN
13,17,7356,5,90,1,80,8,5,37117,1,0.000242476,1085,5,3,0,-1,72,0,0,0,38700.6593,40277.6498,0.258393531,0,BENIGN
13,17,7356,5,90,1,80,8,5,37117,1,0.500242476,1085,5,1,0,-1,56,0,1,0,38699.6593,40276.6498,0.258400208,0,BENIGN
13,18,7356,5,90,1,80,8,5,37117,1,0.000242476,1084,4,1,0,-1,56,0,0,0,38699.6593,40276.6498,0.258400208,0,BENIGN
13,18,7356,5,90,1,80,8,5,37117,1,0.500242476,1087,7,1,0,-1,56,0,1,0,38701.6593,40278.6498,0.258386854,0,BENIGN
13,18,7356,5,90,1,80,8,5,37117,1,0.000242476,1085,5,1,0,-1,56,0,0,0,38700.6593,40277.6498,0.258393531,0,BENIGN
13,18,7356,5,90,1,80,8,5,37117,1,0.500242476,1088,8,1,0,-1,56,0,1,0,38702.6593,40279.6498,0.258380178,0,BENIGN
13,19,7356,5,90,1,80,8,5,37117,1,0.000242476,1087,7,1,0,-1,56,0,0,0,38702.6593,40279.6498,0.258380178,0,BENIGN
13,19,7356,5,90,1,80,8,5,37117,1,0.000242476,1088,8,1,0,-1,56,0,0,0,38703.6593,40280.6498,0.258373502,0,BENIGN
13,19,7356,5,90,1,80,8,5,37117,1,0.000242476,1087,7,3,0,-1,72,0,0,0,38702.6593,40279.6498,0.258380178,0,BENIGN
13,19,7356,5,90,1,80,8,5,37117,1,0.500242476,1087,7,1,0,-1,56,0,1,0,38701.6593,40278.6498,0.258386854,0,BENIGN
13,19,7356,5,90,1,80,8,5,37117,1,0.000242476,1088,8,3,0,-1,72,0,0,0,38703.6593,40280.6498,0.258373502,0,BENIGN
13,19,7356,5,90,1,80,8,5,37117,1,0.500242476,1088,8,1,0,-1,56,0,1,0,38702.6593,40279.6498,0.258380178,0,BENIGN
13,19,7356,5,90,1,80,8,5,37117,1,0.500242476,1095,6,1,0,-1,56,0,1,0,38700.6593,40277.6498,0.258393531,0,BENIGN
13,19,7356,5,90,1,80,8,5,37117,1,0.000242476,1087,7,1,0,-1,56,0,0,0,38702.6593,40279.6498,0.258380178,0,BENIGN
13,19,7356,5,90,1,80,8,5,37117,1,0.500242476,1096,7,1,0,-1,56,0,1,0,38701.6593,40278.6498,0.258386854,0,BENIGN
13,19,7356,5,90,1,80,8,5,37117,1,0.000242476,1095,6,1,0,-1,56,0,0,0,38701.6593,40278.6498,0.258386854,0,BENIGN
13,19,7356,5,90,1,80,8,5,37117,1,0.000242476,1095,6,3,0,-1,72,0,0,0,38701.6593,40278.6498,0.258386854,0,BENIGN
13,19,7356,5,90,1,80,8,5,37117,1,0.500242476,1095,6,1,0,-1,56,0,1,0,38700.6593,40277.6498,0.258393531,0,BENIGN
13,19,7356,5,90,1,80,8,5,37117,1,0.000242476,1096,7,1,0,-1,56,0,0,0,38702.6593,40279.6498,0.258380178,0,BENIGN
13,19,7356,5,90,1,80,8,5,37117,1,0.000242476,1096,7,3,0,-1,72,0,0,0,38702.6593,40279.6498,0.258380178,0,BENIGN
13,19,7356,5,90,1,80,8,5,37117,1,0.500242476,1096,7,1,0,-1,56,0,1,0,38701.6593,40278.6498,0.258386854,0,BENIGN
13,20,7356,5,90,1,80,8,5,37117,1,0.500242476,1095,6,1,0,-1,56,0,1,0,38700.6593,40277.6498,0.258393531,0,BENIGN
13,20,7356,5,90,1,80,8,5,37117,1,0.500242476,1096,7,1,0,-1,56,0,1,0,38701.6593,40278.6498,0.258386854,0,BENIGN
